p-table-body-item,p-table-body-item 2,,p-table-body-item 3,p-table-body-item 4,,p-table-body-item 5,p-table-body-item 6,p-table-body-item 7,,,p-table-body-item 8,p-table-body-item 9,p-table-body-item 10,p-table-body-item 11,p-table-body-item 12,p-table-body-item 13,p-table-body-item 14,p-table-body-item 15,d-none,p-table-body-item 16,p-table-body-item 17,,
337,4.00134E+11,,アパート,163.26㎡,福岡県,福岡県久留米市御井町,"一般
オーナーチェンジ","2,700万円","2,700",2000,一中,152.24㎡,プライマリー久留米大前,-,-,久大線 久留米大学前,徒歩 11分,-,（株）駅前不動産 売買筑後,1988年（昭和63年） 2月,070-6590-6210,,250615
338,4.00134E+11,,アパート,321.33㎡,福岡県,福岡県久留米市御井町,一般,"7,980万円","7,980",7000,一住,400.56㎡,プライマリー久留米大東,-,-,久大線 久留米大学前,徒歩 12分,-,（株）駅前不動産 売買筑後,1991年（平成 3年） 5月,070-6590-6210,,250615
339,4.00133E+11,,アパート,541.00㎡,福岡県,福岡県筑後市大字長浜,"専任
オーナーチェンジ","2,000万円","2,000",2000,準工,202.00㎡,アーサ長浜,公開中,-,鹿児島線 羽犬塚,徒歩 28分,-,（株）駅前不動産 売買筑後,1990年（平成 2年） 4月,070-6590-6210,,250615
340,4.00129E+11,,アパート,300.28㎡,福岡県,福岡県八女市前古賀,"一般
オーナーチェンジ","1,490万円","1,490",1000,定めなし,221.40㎡,エスペランサ参番館,-,-,鹿児島線 羽犬塚,徒歩 51分,-,（株）駅前不動産 売買筑後,1979年（昭和54年） 4月,070-6590-6210,,250615
341,4.00133E+11,,アパート,813.00㎡,福岡県,福岡県朝倉市杷木志波,専任,"3,500万円","3,500",3000,定めなし,397.90㎡,明和ハイツ,公開中,-,,,-,（株）駅前不動産 西鉄筑紫店,1980年（昭和55年） 8月,070-4693-6552,,250615
342,1.00135E+11,,アパート,687.00㎡,茨城県,茨城県つくば市春日４丁目,専任,"8,150万円","8,150",8000,一中,396.90㎡,つくば市春日４ 売アパート２棟,公開中,一方,つくばＥＸ つくば,徒歩 34分,南,桂不動産（株）筑波大学前支店,1986年（昭和61年） 3月,080-5907-3756,,250615
343,4.00134E+11,,アパート,599.41㎡,山口県,山口県下関市秋根東町,"専任
オーナーチェンジ","3,980万円","3,980",3000,一住,301.60㎡,ｍｉｋｉハイム,申込あり,一方,山陽新幹線 新下関,徒歩 10分,東6m,渡邊不動産販売（株）,1988年（昭和63年） 4月,832945150,,250615
344,4.00135E+11,,アパート,386.77㎡,熊本県,熊本県八代市錦町,"専任
オーナーチェンジ","3,300万円","3,300",3000,二住,503.48㎡,北岡アパート,一時停止,一方,鹿児島線 八代,徒歩 9分,南5.9m,熊本地所（株）,1985年（昭和60年） 3月,8072288804,,250615
345,4.00134E+11,,アパート,999.81㎡,宮崎県,宮崎県都城市南横市町,"専属
オーナーチェンジ","5,000万円","5,000",5000,定めなし,424.02㎡,南横市アパート,申込あり,一方,日豊線 五十市,停歩 5分/バス 7分,北6m,絆不動産（株）,2009年（平成21年） 8月,9078669613,,250615
346,1.00134E+11,,アパート,214.12㎡,埼玉県,埼玉県入間市東藤沢２丁目,"売主
オーナーチェンジ","3,680万円","3,680",3000,一住,198.52㎡,広栄荘,-,一方,西武池袋線 武蔵藤沢,徒歩 5分,南東3.9m,藤和建設㈱,1972年（昭和47年） 4月,04-2924-8866,,250615
347,1.00134E+11,,アパート,236.92㎡,神奈川県,神奈川県横浜市南区堀ノ内町２丁目,売主,"17,294.85万円","17,294",17000,一住,293.31㎡,,-,-,横浜ブルー 蒔田,徒歩 12分,-,都市総合企画（株）,2025年（令和 7年） 6月,045-366-1983,,250615
348,1.00134E+11,,アパート,258.14㎡,神奈川県,神奈川県横浜市南区別所３丁目,売主,"18,457.95万円","18,457",18000,一低,309.04㎡,,-,-,京浜急行線 上大岡,徒歩 15分,-,都市総合企画（株）,2025年（令和 7年） 5月,045-366-1983,,250615
349,1.00135E+11,,アパート,183.42㎡,東京都,東京都大田区中央４丁目,一般,"9,580万円","9,580",9000,一住,99.68㎡,ディアス中央,-,一方,都営浅草線 西馬込,徒歩 14分,北東6.5m,野村不動産ソリューションズ（株） 浦和営業部,2001年（平成13年） 1月,048-833-3191,,250615
350,1.00128E+11,,アパート,839.00㎡,千葉県,千葉県船橋市飯山満町１丁目,"専任
オーナーチェンジ","16,000万円","16,000",16000,定めなし,616.92㎡,ペロー弐番館,公開中,二方,東葉高速線 飯山満,徒歩 12分,南東8m,野村不動産ソリューションズ（株） 柏センター,2007年（平成19年） 1月,04-7163-4471,,250615
351,1.00124E+11,,マンション,152.44㎡,神奈川県,神奈川県横浜市保土ケ谷区西久保町,"一般
オーナーチェンジ","14,000万円","14,000",14000,二中,196.17㎡,ソリッド保土ヶ谷壱番館,-,-,横須賀線 保土ケ谷,徒歩 9分,南東5.7m,野村不動産ソリューションズ（株） 目黒センター,2018年（平成30年） 9月,03-6408-5524,,250615
352,1.00116E+11,,アパート,165.34㎡,東京都,東京都多摩市南野２丁目,一般,"4,300万円","4,300",4000,二中,189.93㎡,レオパレス南野,-,一方,相模原線 京王多摩センター,停歩 3分/バス 12分,南6m,野村不動産ソリューションズ（株） 本店営業部,1989年（平成 1年） 2月,03-3345-0344,,250615
353,1.00135E+11,,マンション,661.43㎡,茨城県,茨城県水戸市元吉田町,"一般
オーナーチェンジ","8,980万円","8,980",8000,-,752.42㎡,,-,一方,常磐線 水戸,徒歩 22分/車 1.9km,南2.7m,香陵住販（株）駅南支店,1990年（平成 2年）11月,029-228-4700,,250615
354,4.00123E+11,,アパート,332.16㎡,岡山県,岡山県津山市楢,専任,"1,580万円","1,580",1000,定めなし,244.51㎡,,公開中,一方,因美線 高野,徒歩 30分,北西6m,鶴山不動産（株）津山東支店,1985年（昭和60年） 8月,0868-21-8700,,250615
355,4.00125E+11,,マンション,212.69㎡,岡山県,岡山県津山市山北,"一般
オーナーチェンジ","2,640万円","2,640",2000,定めなし,308.69㎡,第５ＡＳＫパークハイツ,-,-,津山線 津山,徒歩 31分,-,鶴山不動産（株）津山東支店,1988年（昭和63年）12月,0868-21-8700,,250615
356,4.00124E+11,,マンション,569.50㎡,岡山県,岡山県勝田郡勝央町植月北,"一般
オーナーチェンジ",470万円,470,0,-,134.46㎡,勝央町植月北戸建,-,-,姫新線 勝間田,徒歩 63分,西10m,鶴山不動産（株）津山東支店,1994年（平成 6年） 3月,0868-21-8700,,250615
357,4.00123E+11,,アパート,284.44㎡,岡山県,岡山県津山市小原,"専任
オーナーチェンジ",390万円,390,0,一低,42.56㎡,津山市小原戸建,公開中,一方,津山線 津山,徒歩 41分,東,鶴山不動産（株）津山東支店,1976年（昭和51年） 5月,0868-21-8700,,250615
358,4.00123E+11,,アパート,87.13㎡,岡山県,岡山県津山市田町,"一般
オーナーチェンジ",500万円,500,0,商業,106.42㎡,田町アパート,-,一方,津山線 津山,徒歩 18分,西9m,鶴山不動産（株）津山東支店,1963年（昭和38年） 1月,0868-21-8700,,250615
359,4.00123E+11,,アパート,328.81㎡,岡山県,岡山県津山市国分寺,専任,980万円,980,0,定めなし,81.57㎡,国分寺戸建,公開中,一方,姫新線 東津山,徒歩 23分,北4m,鶴山不動産（株）津山東支店,1976年（昭和51年） 8月,0868-21-8700,,250615
360,4.00123E+11,,アパート,321.34㎡,岡山県,岡山県津山市小原,"専任
オーナーチェンジ",850万円,850,0,一低,117.22㎡,津山市小原戸建,公開中,一方,姫新線 津山,徒歩 39分,北,鶴山不動産（株）津山東支店,1966年（昭和41年） 6月,0868-21-8700,,250615
361,4.00123E+11,,アパート,372.00㎡,岡山県,岡山県津山市横山,一般,"1,390万円","1,390",1000,定めなし,204.00㎡,横山アパート,-,一方,津山線 津山,徒歩 15分,北4m,鶴山不動産（株）津山東支店,1986年（昭和61年） 3月,0868-21-8700,,250615
